,ID tienda ,Nombre Tienda,Formato Tienda,Municipio,Estado,Calle y Número,Colonia,CP,Coordenadas,Latitud,Longitud
466,498,DELICIAS PONIENTE,MERCADO,DELICIAS,CHIHUAHUA,CALLE 3ERA. PONIENTE 1501,SECTOR PONIENTE,33000.0,"28.1846,-105.4841",28.1846,-105.4841
467,499,CAMARGO,EXPRESS,CAMARGO,CHIHUAHUA,AV. BENITO JUAREZ 1200,LAGUNITA,33739.0,"27.6819,-105.1641",27.6819,-105.1641
470,502,TIJUANA VILLA FONTANA,SÚPER,TIJUANA,BAJA CALIFORNIA,BLVD. CUCAPAH SN,VILLA FONTANA,22205.0,"32.5133,-116.8643",32.5133,-116.8643
471,503,REFORMA TIJUANA,SÚPER,TIJUANA,BAJA CALIFORNIA,BLVD. REFORMA SN,REFORMA,22180.0,"32.4714,-116.9502",32.4714,-116.9502
475,507,LOS ANGELES TORREON,SÚPER,TORREÓN,COAHUILA DE ZARAGOZA,BLVD. INDEPENDENCIA PTE. 20,AMPLIACION LOS ANGELES,27140.0,"25.5484,-103.4497",25.5484,-103.4497
478,510,SAN JOSÉ VIEJO,HÍPER,LOS CABOS,BAJA CALIFORNIA SUR,CARRETERA TRANSPENINSULAR KM.39,SAN JOSE VIEJO,23437.0,"23.1131,-109.7147",23.1131,-109.7147
487,519,EL DORADO,EXPRESS,CULIACÁN,SINALOA,MEXICO PTE 390,CENTRO,80450.0,"24.3168,-107.3634",24.3168,-107.3634
488,520,NACOZARI,EXPRESS,NACOZARI DE GARCÍA,SONORA,MONTE HIMALAYA SN,LOMAS DE NACOZARI,84340.0,"30.3770,-109.6839",30.377,-109.6839
489,521,COLA DE BALLENA,HÍPER,LA PAZ,BAJA CALIFORNIA SUR,LIBRAMIENTO SUR 1515,EL ZACATAL,23088.0,"24.1175,-110.3361",24.1175,-110.3361
492,524,PERIFERICO DE LA JUVENTUD,HÍPER,CHIHUAHUA,CHIHUAHUA,AV. DE LA JUVENTUD 5909,LA CANTERA,31001.0,"28.6288,-106.1218",28.6288,-106.1218
499,531,CABORCA,EXPRESS,CABORCA,SONORA,AV. 6 DE ABRIL NTE. 60,CENTRO,83600.0,"30.7150,-112.1486",30.715,-112.1486
500,532,VICENTE CENTRO,EXPRESS,VICENTE GUERRERO,DURANGO,JUAN HERNANDEZ Y MARIN 100,VICENTE GUERRERO CENTRO,34890.0,"23.7304,-103.9883",23.7304,-103.9883
507,539,CASAS GRANDES,MERCADO,NUEVO CASAS GRANDES,CHIHUAHUA,AV. TECNOLOGICO 903,CENTRO,31700.0,"30.4110,-107.9008",30.411,-107.9008
508,540,CENTRAL SALTILLO,MERCADO,SALTILLO,COAHUILA DE ZARAGOZA,PERIFERICO LIC. LUIS ECHEVERRIA A. 290,BELLAVISTA,25060.0,"25.3981,-101.0083",25.3981,-101.0083
509,541,CASA BLANCA,SÚPER,TIJUANA,BAJA CALIFORNIA,PDA. AGUILA SILBONA 19510,BAJA MAQ EL AGUILA,22215.0,"32.5005,-116.8981",32.5005,-116.8981
510,542,JARDINES TIJUANA,SÚPER,TIJUANA,BAJA CALIFORNIA,BLVD. GUSTAVO DIAZ ORDAZ 17415,JARDINES DE LA MESA,22126.0,"32.4602,-116.9259",32.4602,-116.9259
511,543,SAN MARINO,SÚPER,ENSENADA,BAJA CALIFORNIA,AV. J. DE J. CLARK FLORES 11390,ZONA PLAYITAS,22860.0,"31.8661,-116.6591",31.8661,-116.6591
517,549,CARIBE,HÍPER,LOS CABOS,BAJA CALIFORNIA SUR,AV. LEONA VICARIO 5135,,0.0,"22.9325,-109.9289",22.9325,-109.9289
518,550,LA OBRERA (FEMA),SÚPER,TIJUANA,BAJA CALIFORNIA,LIBRAMIENTO 10001,OAXACA ANGEL FERNANDEZ DEL SAN ANTONIO D,22620.0,"32.4907,-117.0471",32.4907,-117.0471
